Number,Brand,Name,Arch,IP,Ping,Web,Vuln,Similar Image,Comment,b33f15,b33f17,b33f19,b33f23,b33f28,b33f35,b33f38,b33fi10,b33fi1,b33fi25,b33fi29-1,b33fi29-2,b33fi13,bof1,bof2,bof3,bof4,bof4-2,bof5,rce7,rce7-1
121,netgear,R6200-V1.0.1.48_1.0.37,mipsel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x41d9dc","httpd,0x445af0",,,,,,,,,
423,netgear,R6200-V1.0.1.46_1.0.36,mipsel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x41d80c","httpd,0x445980",,,,,,,,,
107,netgear,R6200-V1.0.0.28_1.0.24,mipsel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x41cb40","httpd,0x444390",,,,,,,,,
320,netgear,R6200-V1.0.0.18_1.0.18,mipsel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x41c180","httpd,0x443910",,,,,,,,,
220,netgear,WNR3500L-V1.2.0.18_40.0.67,mipsel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x41c6cc","httpd,0x440d90",,,,,,,,,
464,netgear,WNR3500Lv2_V1.2.0.20_40.0.68,mipsel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x41c6cc","httpd,0x440d90",,,,,,,,,
430,netgear,WNR3500Lv2_Firmware_Version_1.0.0.10,mipsel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x41ab8c","httpd,0x43e8e0",,,,,,,,,
241,netgear,WNDR3400V3_V1.0.0.22_1.0.29,mipsel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x41ac24","httpd,0x43e000",,,,,,,,,
306,netgear,WNDR3400v3-V1.0.0.20_1.0.28,mipsel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x41ac14","httpd,0x43dfd0",,,,,,,,,
329,netgear,R7000-V1.0.3.60_1.1.27,armel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x173e0","httpd,0x30ab0",,,,,,,,,
332,netgear,R6700-V1.0.0.2_1.0.1,armel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x172e8","httpd,0x30258",,,,,,,,,
310,netgear,R7000-V1.0.3.68_1.1.31,armel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x172e8","httpd,0x30214",,,,,,,,,
280,netgear,R7000-_V1.0.3.80-1.1.38,armel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x172e0","httpd,0x3020c",,,,,,,,,
406,netgear,R7000-V1.0.3.56_1.1.25,armel,192.168.1.1,TRUE,TRUE,b33fi29,99,,,,,,,,,,,,"httpd,0x172e8","httpd,0x301b4",,,,,,,,,
