Idx,Score,Ground,Addr,Name,Bin,Arch,Vendor,Firmware
104,0.9915,TRUE,0x369e8,sub_369E8,/usr/sbin/httpd,arm_32,netgear,R7900-V1.0.0.10_10.0.7
130,0.9915,FALSE,0x30c64,sub_30C64,/usr/sbin/httpd,arm_32,netgear,R6250-V1.0.4.2_10.1.10
456,0.9915,TRUE,0x369a4,sub_369A4,/usr/sbin/httpd,arm_32,netgear,R8000-V1.0.2.46_1.0.97
20364,0.9915,TRUE,0x367c8,sub_367C8,/usr/sbin/httpd,arm_32,netgear,R7900-V1.0.0.8_10.0.5
134,0.9692,FALSE,0x36c34,sub_36C34,/usr/sbin/httpd,arm_32,netgear,R7000-V1.0.7.2_1.1.93
146,0.9692,FALSE,0x32984,sub_32984,/usr/sbin/httpd,arm_32,netgear,R6400-V1.0.0.24_1.0.13
172,0.9692,FALSE,0x37f58,sub_37F58,/usr/sbin/httpd,arm_32,netgear,R8500-V1.0.0.52_1.0.26
223,0.9692,FALSE,0x3280c,sub_3280C,/usr/sbin/httpd,arm_32,netgear,R6400-V1.0.0.20_1.0.11
282,0.9692,FALSE,0x32c80,sub_32C80,/usr/sbin/httpd,arm_32,netgear,R7000-V1.0.4.28_1.1.64
294,0.9692,FALSE,0x38ac8,sub_38AC8,/usr/sbin/httpd,arm_32,netgear,R8500-V1.0.2.80_1.0.71
295,0.9692,FALSE,0x370f0,sub_370F0,/usr/sbin/httpd,arm_32,netgear,R8000-V1.0.3.4_1.1.2
302,0.9692,FALSE,0x32cbc,sub_32CBC,/usr/sbin/httpd,arm_32,netgear,R7000_V1.0.4.30_1.1.67
338,0.9692,FALSE,0x36c34,sub_36C34,/usr/sbin/httpd,arm_32,netgear,R7000-V1.0.5.70_1.1.91
340,0.9692,FALSE,0x37f58,sub_37F58,/usr/sbin/httpd,arm_32,netgear,R8500-V1.0.0.42_1.0.23
343,0.9692,FALSE,0x32cf8,sub_32CF8,/usr/sbin/httpd,arm_32,netgear,R6700-V1.0.0.26_10.0.26
346,0.9692,FALSE,0x38324,sub_38324,/usr/sbin/httpd,arm_32,netgear,R8500-V1.0.2.64_1.0.62
357,0.9692,FALSE,0x336cc,sub_336CC,/usr/sbin/httpd,arm_32,netgear,R6400-V1.0.0.26_1.0.14
364,0.9692,FALSE,0x37f58,sub_37F58,/usr/sbin/httpd,arm_32,netgear,R8500-V1.0.0.56_1.0.28
381,0.9692,FALSE,0x37f4c,sub_37F4C,/usr/sbin/httpd,arm_32,netgear,R8500-V1.0.2.26_1.0.41
389,0.9692,FALSE,0x328f0,sub_328F0,/usr/sbin/httpd,arm_32,netgear,R6400-V1.0.0.14_1.0.8
398,0.9692,FALSE,0x37134,sub_37134,/usr/sbin/httpd,arm_32,netgear,R7900-V1.0.1.4_10.0.12
402,0.9692,FALSE,0x32cf8,sub_32CF8,/usr/sbin/httpd,arm_32,netgear,R6700-V1.0.0.24_10.0.18
410,0.9692,FALSE,0x33e0c,sub_33E0C,/usr/sbin/httpd,arm_32,netgear,R6400-V1.0.1.12_1.0.11
413,0.9692,FALSE,0x37f84,sub_37F84,/usr/sbin/httpd,arm_32,netgear,R8500-V1.0.2.30_1.0.43
